title,score,favorites,members,has_anime,demo_Shounen,demo_Seinen,demo_Shoujo,demo_Josei,demo_Kids,status_Finished,status_Publishing,status_On_Hiatus,genre_romance,genre_comedy,genre_fantasy,genre_hentai,genre_boys_love,genre_erotica,genre_drama,genre_action,genre_supernatural,genre_slice_of_life,genre_adventure,genre_ecchi,genre_sci-fi,genre_mystery,genre_girls_love,genre_horror,genre_sports,genre_suspense,genre_gourmet,genre_award_winning,genre_avant_garde
Black Cat,7.81,1768,51458,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Busou Renkin,7.31,242,18403,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Dragon Ball,8.45,16549,182910,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Eyeshield 21,8.47,4558,83074,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Gintama,8.65,8482,104278,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Ichigo 100%,7.77,2008,49858,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Kannade,6.78,0,429,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Katekyou Hitman Reborn!,8.11,9770,130450,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pretty Face,7.61,526,19747,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tennis no Oujisama,7.74,868,28390,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Shaman King,7.78,3439,79400,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Slam Dunk,9.09,18070,200336,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Whistle!,7.88,154,6856,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Yuu☆Yuu☆Hakusho,8.19,2977,79329,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Yu☆Gi☆Oh!,7.72,2336,45129,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
Aishiteruze Baby★★,7.92,392,23730,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caramel Diary,6.58,2,1012,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hanazakari no Kimitachi e,8.3,1982,39869,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W-Juliet,8.0,246,10876,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Seito no Shucho Kyoushi no Honbun,6.44,3,1093,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
± Junkie,6.14,0,1384,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13 Nichi wa Kinyoubi?,6.74,0,904,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
17-sai: Hajimete no H,6.44,9,4197,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ninin ga Shinobuden,6.89,12,1265,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-ya Monogatari,7.75,115,6591,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3.3.7 Byooshi!!,7.08,14,2697,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"""Suki"" to Ienai.",6.72,9,5782,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
